passingId,playerId,compPerc,yards,touchdowns,int,rating
RivePh00Passing,RivePh00,66.1,4792,29,13,93.8
BreeDr00Passing,BreeDr00,68.3,4870,32,11,101
BradTo00Passing,BradTo00,64.4,4770,36,7,102.2
MannEl00Passing,MannEl00,62.6,4432,35,14,93.6
RyanMa00Passing,RyanMa00,66.3,4591,21,16,89
BortBl00Passing,BortBl00,58.6,4428,35,18,88.2
StafMa00Passing,StafMa00,67.2,4262,32,13,97
TannRy00Passing,TannRy00,61.9,4208,24,12,88.7
CarrDe02Passing,CarrDe02,61.1,3987,32,13,91.1
RodgAa00Passing,RodgAa00,60.7,3821,31,8,92.7
FitzRy00Passing,FitzRy00,59.6,3905,31,15,88
CousKi00Passing,CousKi00,69.8,4166,29,11,101.6
PalmCa00Passing,PalmCa00,63.7,4671,35,11,104.6
WinsJa00Passing,WinsJa00,58.3,4042,22,15,84.2
BradSa00Passing,BradSa00,65,3725,19,14,86.4
NewtCa00Passing,NewtCa00,59.8,3837,35,10,99.4
CutlJa00Passing,CutlJa00,64.4,3659,21,11,92.3
WilsRu00Passing,WilsRu00,68.1,4024,34,8,110.1
SmitAl03Passing,SmitAl03,65.3,3486,20,7,95.4
RoetBe00Passing,RoetBe00,68,3938,21,16,94.5
BridTe00Passing,BridTe00,65.3,3231,14,9,88.7
FlacJo00Passing,FlacJo00,64.4,2791,14,12,83.1
DaltAn00Passing,DaltAn00,66.1,3250,25,7,106.2
TaylTy00Passing,TaylTy00,63.7,3035,20,6,99.4
MariMa01Passing,MariMa01,62.2,2818,19,10,91.5
HoyeBr00Passing,HoyeBr00,60.7,2606,19,7,91.4
FoleNi00Passing,FoleNi00,56.4,2052,7,10,69
MannPe00Passing,MannPe00,59.8,2249,9,17,67.9
LuckAn00Passing,LuckAn00,55.3,1881,15,12,74.9
McCoJo01Passing,McCoJo01,63.7,2109,12,4,93.3
GabbBl00Passing,GabbBl00,63.1,2031,10,7,86.2
OsweBr00Passing,OsweBr00,61.8,1967,10,6,86.4
HassMa00Passing,HassMa00,60.9,1690,9,5,84
KaepCo00Passing,KaepCo00,59,1615,6,5,78.5
MallRy00Passing,MallRy00,55.7,1336,5,6,67.9
ManzJo00Passing,ManzJo00,57.8,1500,7,5,79.4
CassMa00Passing,CassMa00,58.3,1276,5,7,70.6
MettZa00Passing,MettZa00,60.8,935,4,7,66.7
WeedBr00Passing,WeedBr00,69.3,1043,5,2,96.8
ClauJi00Passing,ClauJi00,57.6,739,2,4,66.7
KeenCa00Passing,KeenCa00,60.8,828,4,1,87.7
RomoTo00Passing,RomoTo00,68.6,884,5,7,79.4
McCaA.00Passing,McCaA.00,66.4,854,6,2,97.1
MoorKe02Passing,MoorKe02,58.7,779,4,6,71
DaviAu00Passing,DaviAu00,59.6,547,1,3,66.2
SancMa00Passing,SancMa00,64.8,616,4,4,80.7
ManuEJ00Passing,ManuEJ00,61.9,561,3,3,78.5
SchaMa00Passing,SchaMa00,65,540,3,4,76
VickMi00Passing,VickMi00,60.6,371,2,1,79.8
YateT.00Passing,YateT.00,49.1,370,3,1,80.3
JoneLa02Passing,JoneLa02,58.2,513,3,4,77.3
SmitGe00Passing,SmitGe00,64.3,265,2,1,87.9
OrloDa00Passing,OrloDa00,55,201,1,1,66.8
McCoLu00Passing,McCoLu00,82.1,335,0,1,91.8
McGlMa01Passing,McGlMa01,71.9,142,2,1,88.3
WhitCh02Passing,WhitCh02,50,150,0,1,50.3
FreeJo00Passing,FreeJo00,53.6,149,1,1,65.9
StanDr00Passing,StanDr00,44,104,0,2,22.7
TannAl00Passing,TannAl00,71.4,99,1,0,114.9
McCoCo00Passing,McCoCo00,63.6,128,1,0,133.9
LindRy00Passing,LindRy00,60,58,1,0,109.6
HillSh00Passing,HillSh00,28.6,15,0,0,39.6
MannSe00Passing,MannSe00,85.7,31,0,0,85.1
RenfSe00Passing,RenfSe00,42.9,11,0,1,10.7
AndeDe00Passing,AndeDe00,66.7,36,0,0,82.6
ClemKe00Passing,ClemKe00,83.3,63,1,0,150
JackTa00Passing,JackTa00,66.7,37,0,0,83.3
NassRy00Passing,NassRy00,100,68,1,0,158.3
GaroJi00Passing,GaroJi00,25,6,0,0,39.6
HekkJo00Passing,HekkJo00,25,20,0,0,47.9
DaniCh00Passing,DaniCh00,100,4,0,0,79.2
DaniB.00Passing,DaniB.00,50,7,0,0,58.3
AmenDa00Passing,AmenDa00,100,36,0,0,118.7
AndrAn00Passing,AndrAn00,100,41,1,0,158.3
CadeTr00Passing,CadeTr00,0,0,0,0,39.6
CrowJa00Passing,CrowJa00,0,0,0,0,39.6
GrimJo01Passing,GrimJo01,0,0,0,0,39.6
HogaCh00Passing,HogaCh00,100,4,0,0,83.3
KochSa20Passing,KochSa20,100,-3,0,0,79.2
LandJa00Passing,LandJa00,100,9,0,0,104.2
McFaDa00Passing,McFaDa00,0,0,0,0,39.6
MoorMa01Passing,MoorMa01,100,14,0,0,118.7
SantCa01Passing,SantCa01,100,3,0,0,79.2
ShorCe00Passing,ShorCe00,100,21,1,0,158.3
TolzSc00Passing,TolzSc00,100,4,0,0,83.3
WaltBr00Passing,WaltBr00,0,0,0,0,39.6